x,y
9.27E-05,-0.006875578
9.64E-05,-0.006674642
8.80E-05,-0.00717206
8.70E-05,-0.007265911
9.41E-05,-0.006829601
8.94E-05,-0.007156825
8.66E-05,-0.004206638
8.92E-05,-0.007189308
9.50E-05,-0.006881447
8.66E-05,-0.004356489
9.02E-05,-0.004262273
8.99E-05,-0.007163771
8.80E-05,-0.004355208
9.22E-05,-0.004235109
8.66E-05,-0.007349914
9.02E-05,-0.007140502
8.40E-05,-0.004532559
8.45E-05,-0.004511156
9.38E-05,-0.006953808
8.80E-05,-0.007261415
9.30E-05,-0.006989527
9.22E-05,-0.007029691
8.55E-05,-0.004514841
9.41E-05,-0.006927137
9.43E-05,-0.006917606
9.34E-05,-0.00427041
8.46E-05,-0.004597061
9.46E-05,-0.006881873
9.46E-05,-0.007492169
9.34E-05,-0.006935549
9.34E-05,-0.007544791
9.45E-05,-0.004292886
8.82E-05,-0.004512093
8.92E-05,-0.004469842
9.43E-05,-0.004301459
9.11E-05,-0.004421078
9.45E-05,-0.006835292
9.43E-05,-0.006845215
9.45E-05,-0.007425063
9.43E-05,-0.007434625
9.28E-05,-0.004377998
9.70E-05,-0.006705223
9.11E-05,-0.006986176
9.11E-05,-0.007563464
9.70E-05,-0.007286469
9.28E-05,-0.006875428
9.28E-05,-0.007440773
9.86E-05,-0.004199045
9.39E-05,-0.006865239
8.77E-05,-0.007353637
8.44E-05,-0.00761897
8.42E-05,-0.007634199
9.19E-05,-0.006957212
8.80E-05,-0.007272551
8.67E-05,-0.007370478
8.79E-05,-0.007239956
8.07E-05,-0.007834864
8.33E-05,-0.007572808
8.29E-05,-0.007602634
8.06E-05,-0.007778139
8.41E-05,-0.007466626
8.90E-05,-0.007120196
8.32E-05,-0.007535551
8.62E-05,-0.007304054
8.19E-05,-0.00763
7.92E-05,-0.00784308
8.31E-05,-0.007510248
8.92E-05,-0.007089323
8.12E-05,-0.00767371
7.52E-05,-0.004433145
7.74E-05,-0.004413242
7.30E-05,-0.004567163
7.31E-05,-0.004556238
7.73E-05,-0.004420385
7.04E-05,-0.004751339
7.46E-05,-0.0045656
7.31E-05,-0.004667097
7.19E-05,-0.00475033
7.52E-05,-0.008786687
7.31E-05,-0.008981367
7.73E-05,-0.008630757
7.74E-05,-0.008619578
8.19E-05,-0.008284135
7.30E-05,-0.008996506
7.29E-05,-0.004792041
7.04E-05,-0.009253077
7.00E-05,-0.009286246
7.46E-05,-0.008852541
7.12E-05,-0.004920344
7.82E-05,-0.008565878
7.50E-05,-0.004745804
7.42E-05,-0.004795553
7.31E-05,-0.008988557
7.34E-05,-0.004856573
7.32E-05,-0.004868646
7.19E-05,-0.009098768
7.22E-05,-0.004940984
8.15E-05,-0.008329942
7.29E-05,-0.009007673
7.27E-05,-0.004994413
8.05E-05,-0.008403597
7.29E-05,-0.006062402
7.12E-05,-0.006202876
7.12E-05,-0.00915939
7.42E-05,-0.006035607
7.50E-05,-0.008820551
7.42E-05,-0.008879948
7.59E-05,-0.004857573
7.50E-05,-0.004914434
7.54E-05,-0.004889894
7.22E-05,-0.006199546
7.34E-05,-0.008951429
7.32E-05,-0.008964481
8.08E-05,-0.008365639
7.34E-05,-0.00610629
7.32E-05,-0.006119341
6.72E-05,-0.006556188
7.22E-05,-0.009047368
7.07E-05,-0.009177783
7.82E-05,-0.008543758
8.20E-05,-0.008267551
7.07E-05,-0.006326732
7.00E-05,-0.006383589
7.00E-05,-0.00923645
7.27E-05,-0.006234193
7.27E-05,-0.008986987
7.59E-05,-0.00604764
7.50E-05,-0.006115609
7.54E-05,-0.006087446
7.59E-05,-0.008711779
7.54E-05,-0.008751766
7.50E-05,-0.008781636
8.25E-05,-0.008214495
6.54E-05,-0.006789543
6.90E-05,-0.006537528
7.20E-05,-0.006342034
7.18E-05,-0.006355605
7.20E-05,-0.009011518
7.18E-05,-0.009025573
7.06E-05,-0.006476869
8.26E-05,-0.008128639
6.89E-05,-0.006606367
7.46E-05,-0.008729588
7.70E-05,-0.008514982
7.45E-05,-0.006220647
7.70E-05,-0.006077557
7.99E-05,-0.005921184
8.03E-05,-0.005898421
7.99E-05,-0.008286987
8.03E-05,-0.008264085
8.11E-05,-0.008156126
8.11E-05,-0.005854343
8.38E-05,-0.007951505
7.13E-05,-0.00643576
7.83E-05,-0.006005588
7.83E-05,-0.008306343
8.38E-05,-0.005706017
8.15E-05,-0.008063123
8.58E-05,-0.007793211
7.58E-05,-0.006138681
8.09E-05,-0.005855866
8.15E-05,-0.005822776
8.09E-05,-0.00809481
7.91E-05,-0.00817953
8.47E-05,-0.005650788
8.58E-05,-0.005605607
8.41E-05,-0.007865362
8.47E-05,-0.007839022
8.68E-05,-0.007674454
7.09E-05,-0.006440902
7.53E-05,-0.006164867
7.90E-05,-0.00594508
8.41E-05,-0.005677769
8.21E-05,-0.00794833
8.21E-05,-0.005767607
8.68E-05,-0.005544526
7.92E-05,-0.005901026
8.66E-05,-0.007588412
8.62E-05,-0.007599546
8.60E-05,-0.00760648
8.50E-05,-0.005569005
8.66E-05,-0.005515614
8.62E-05,-0.005527236
8.60E-05,-0.005534529
8.50E-05,-0.007636982
8.66E-05,-0.007477072
9.86E-05,-0.006880824
8.65E-05,-0.005463715
8.47E-05,-0.007519742
8.47E-05,-0.005517177
8.26E-05,-0.005578046
8.50E-05,-0.005433189
9.64E-05,-0.006342378
9.41E-05,-0.006526076
9.50E-05,-0.006472836
9.38E-05,-0.006508431
9.30E-05,-0.006559943
9.41E-05,-0.006472677
9.43E-05,-0.006461539
9.46E-05,-0.006417898
9.70E-05,-0.006181375
8.81E-05,-0.007004096
8.77E-05,-0.006970899
8.44E-05,-0.007284228
8.42E-05,-0.007301886
8.80E-05,-0.006924379
8.67E-05,-0.007036527
8.79E-05,-0.006922057
8.33E-05,-0.007291991
8.29E-05,-0.007330289
8.32E-05,-0.007293499
8.41E-05,-0.007207138
8.62E-05,-0.007041294
7.30E-05,-0.002829875
7.31E-05,-0.002818899
7.04E-05,-0.002989348
7.00E-05,-0.003011045
7.19E-05,-0.003009311
7.31E-05,-0.002934928
7.29E-05,-0.003062246
6.71E-05,-0.003357988
7.12E-05,-0.003168615
7.22E-05,-0.003209474
6.72E-05,-0.003472665
7.07E-05,-0.003310316
7.00E-05,-0.003359645
7.27E-05,-0.003285302
6.54E-05,-0.003740645
6.90E-05,-0.003558644
7.19E-05,-0.003432672
7.18E-05,-0.003444954
7.06E-05,-0.003625911
6.89E-05,-0.003756132
7.13E-05,-0.00373209
7.09E-05,-0.003817555
6.60E-05,-0.004155263
6.85E-05,-0.004015951
6.69E-05,-0.004122339
7.06E-05,-0.003916352
7.70E-05,-0.003596546
7.69E-05,-0.003602263
6.73E-05,-0.004109635
7.51E-05,-0.003696191
7.72E-05,-0.003599707
7.35E-05,-0.003765737
7.71E-05,-0.003592753
7.15E-05,-0.003850271
8.66E-05,-0.006490654
8.62E-05,-0.006500078
8.60E-05,-0.006506394
8.50E-05,-0.006532504
7.66E-05,-0.003578442
9.86E-05,-0.005744135
8.66E-05,-0.006358484
7.64E-05,-0.003586992
8.47E-05,-0.006393733
8.00E-05,-0.003429524
7.89E-05,-0.003462335
8.43E-05,-0.003266942
7.71E-05,-0.003510835
8.39E-05,-0.003229328
8.35E-05,-0.003237851
8.77E-05,-0.00309156
8.80E-05,-0.003086365
9.27E-05,-0.004080969
7.63E-05,-0.008125956
7.70E-05,-0.008000282
6.43E-05,-0.003205064
6.59E-05,-0.003202904
6.45E-05,-0.003326176
6.45E-05,-0.003455096
6.60E-05,-0.003322357
6.44E-05,-0.003466112
6.19E-05,-0.003975459
6.30E-05,-0.003854328
5.79E-05,-0.004625655
5.78E-05,-0.004691617
6.19E-05,-0.004392503
5.75E-05,-0.004717063
6.23E-05,-0.004401665
6.10E-05,-0.004499353
5.87E-05,-0.004669038
5.63E-05,-0.00485122
6.08E-05,-0.004524459
6.13E-05,-0.004491588
6.33E-05,-0.004337944
5.81E-05,-0.004659192
6.38E-05,-0.004269467
6.30E-05,-0.004306616
8.47E-05,-0.007303467
8.27E-05,-0.007269215
6.50E-05,-0.004158458
7.22E-05,-0.003778026
7.07E-05,-0.003824398
7.06E-05,-0.00725341
8.92E-05,-0.006962384
6.70E-05,-0.004015998
8.83E-05,-0.006949747
7.71E-05,-0.00682495
7.69E-05,-0.006825616
9.12E-05,-0.006798442
7.41E-05,-0.00365779
5.57E-05,-0.004660038
7.51E-05,-0.006824411
6.75E-05,-0.00390776
7.18E-05,-0.003717107
7.27E-05,-0.00369458
9.29E-05,-0.006632081
8.26E-05,-0.006424012
7.63E-05,-0.003533161
7.59E-05,-0.003541447
8.50E-05,-0.006229543
6.02E-05,-0.004291272
7.72E-05,-0.00662339
8.36E-05,-0.006238427
8.39E-05,-0.006829153
7.16E-05,-0.003618325
8.61E-05,-0.006044363
7.52E-05,-0.003465462
7.57E-05,-0.00345793
8.94E-05,-0.005858915
8.58E-05,-0.006661008
7.35E-05,-0.006564789
7.71E-05,-0.006399047
8.71E-05,-0.005859321
8.92E-05,-0.005682969
8.43E-05,-0.005837788
8.00E-05,-0.005991431
9.27E-05,-0.003601348
9.64E-05,-0.003546701
9.41E-05,-0.003756002
8.94E-05,-0.004009956
8.92E-05,-0.00409396
8.98E-05,-0.004208802
9.50E-05,-0.002317238
8.98E-05,-0.002497288
9.02E-05,-0.002588056
8.80E-05,-0.002671862
9.38E-05,-0.002555766
9.30E-05,-0.002580501
9.22E-05,-0.002609515
9.38E-05,-0.005224797
9.30E-05,-0.005253862
9.41E-05,-0.002633484
9.43E-05,-0.002626204
9.22E-05,-0.005287036
9.41E-05,-0.005241794
9.43E-05,-0.005234313
9.46E-05,-0.002691789
9.34E-05,-0.002731916
9.46E-05,-0.005241886
9.34E-05,-0.005285481
8.92E-05,-0.002957317
9.45E-05,-0.002823852
9.43E-05,-0.00283162
8.82E-05,-0.00299733
9.70E-05,-0.002792187
9.11E-05,-0.002940123
9.45E-05,-0.005264068
9.43E-05,-0.005272777
9.28E-05,-0.002925693
9.70E-05,-0.005177474
9.39E-05,-0.001705049
9.19E-05,-0.00179412
8.90E-05,-0.001925425
8.92E-05,-0.002032345
9.27E-05,-0.002009094
8.39E-05,-0.002254295
8.80E-05,-0.002207075
8.70E-05,-0.002318947
8.39E-05,-0.004160673
8.19E-05,-0.004264521
7.82E-05,-0.00446389
8.43E-05,-0.004319373
8.05E-05,-0.00450956
8.15E-05,-0.004456284
8.36E-05,-0.004428759
8.08E-05,-0.004567341
7.82E-05,-0.004714485
8.20E-05,-0.004572967
7.82E-05,-0.00018562
8.20E-05,-0.000220366
8.25E-05,-0.004609798
8.25E-05,-0.000362281
7.59E-05,-0.000289308
7.50E-05,-0.000332238
7.54E-05,-0.00031328
8.26E-05,-0.004701874
8.26E-05,-0.000641545
7.06E-05,-0.003445335
7.45E-05,-0.00070601
7.45E-05,-0.003316348
7.70E-05,-0.000735681
7.70E-05,-0.003277661
7.99E-05,-0.00074803
8.03E-05,-0.000731697
8.11E-05,-0.000825587
8.38E-05,-0.000838854
8.38E-05,-0.00470664
8.57E-05,-0.000873321
8.57E-05,-0.004637534
8.11E-05,-0.003246898
7.13E-05,-0.003609207
7.83E-05,-0.000951586
8.08E-05,-0.000955411
8.15E-05,-0.000927685
8.38E-05,-0.003185818
8.41E-05,-0.00093289
8.47E-05,-0.000910455
8.47E-05,-0.00468439
8.15E-05,-0.00328863
8.67E-05,-0.000930583
8.67E-05,-0.004608152
7.83E-05,-0.003383743
7.53E-05,-0.003528947
7.58E-05,-0.003504146
7.90E-05,-0.001035013
8.08E-05,-0.003319936
8.21E-05,-0.00101112
8.58E-05,-0.003153282
8.41E-05,-0.003225015
8.47E-05,-0.003199534
7.90E-05,-0.003406846
8.21E-05,-0.003308943
8.66E-05,-0.001019926
8.62E-05,-0.001032105
8.67E-05,-0.003152768
8.60E-05,-0.001039998
8.50E-05,-0.001076291
7.92E-05,-0.003443962
8.65E-05,-0.001096351
8.50E-05,-0.00324966
8.66E-05,-0.003188901
8.62E-05,-0.003201744
8.60E-05,-0.003210322
8.47E-05,-0.001161049
8.25E-05,-0.001243853
8.65E-05,-0.003205653
8.50E-05,-0.001211399
8.47E-05,-0.003271275
8.35E-05,-0.001262739
9.86E-05,-0.002863741
8.61E-05,-0.001219756
8.94E-05,-0.001154856
